
fecha,descripcion,sucursal,dcto,valor,saldo,
1/08,CONSIGNACION LOCAL EFECTIVO,AVENIDA SANTANDER, ,95000.00,6753918.25
1/08,CONSIGNACION LOCAL EFECTIVO,AVENIDA SANTANDER, ,100000.00,6853918.25
1/08,ABONO INTERESES AHORROS, , ,136.80,6854055.05
1/08,PAGO COMUNICACCOMCEL FACTURAN,AVENIDA SANTANDER, ,-69288.00,6784767.05
1/08,RETIRO AHO CNB,CANAL CORRESPONSA, ,-100000.00,6684767.05
2/08,ABONO INTERESES AHORROS, , ,51.36,6684818.41
2/08,RETIRO CAJERO MERCALDAS CENTR, , ,-400000.00,6284818.41
2/08,RETIRO CAJERO MERCALDAS CENTR, , ,-600000.00,5684818.41
2/08,TRASLADO CTA BANCOL SUC VIRT, , ,-986000.00,4698818.41
3/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-46284.00,4652534.41
3/08,PAGO PUNTO DE VENTA REDEBAN, , ,-350000.00,4302534.41
7/08,ABONO INTERESES AHORROS, , ,235.15,4302769.56
8/08,ABONO INTERESES AHORROS, , ,42.45,4302812.01
8/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-59710.00,4243102.01
8/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-59990.00,4183112.01
8/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-299751.00,3883361.01
9/08,ABONO INTERESES AHORROS, , ,31.77,3883392.78
9/08,TRASLADO VIRTUAL OTROS BANCOS, , ,-977000.00,2906392.78
9/08,AJUSTE DB INTERES AHORROS, , ,-.08,2906392.70
9/08,COMISION TRASLADO OTROS BANCO, , ,-7200.00,2899192.70
11/08,ABONO INTERESES AHORROS, , ,63.38,2899256.08
12/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-34990.00,2864266.08
13/08,ABONO INTERESES AHORROS, , ,62.62,2864328.70
14/08,ABONO INTERESES AHORROS, , ,31.21,2864359.91
14/08,CUOTA MANEJO TARJETA DEBITO, , ,-9000.00,2855359.91
15/08,CONSIGNACION LOCAL EFECTIVO,FUNDADORES MANIZA, ,7500000.00,10355359.91
15/08,CARGUE E-PREPAGO, , ,-355000.00,10000359.91
16/08,ABONO INTERESES AHORROS, , ,409.32,10000769.23
17/08,ABONO INTERESES AHORROS, , ,161.78,10000931.01
17/08,CARGUE E-PREPAGO, , ,-100000.00,9900931.01

17/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-1995760.00,7905171.01
18/08,PAGO PUNTO DE VENTA REDEBAN, , ,-77567.00,7827604.01
19/08,ABONO INTERESES AHORROS, , ,320.39,7827924.40
20/08,ABONO INTERESES AHORROS, , ,49.48,7827973.88
20/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-1731.27,7826242.61
20/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-1990278.00,5835964.61
20/08,RETIRO CAJERO C.C. FUNDADORES, , ,-600000.00,5235964.61
20/08,RETIRO CAJERO C.C. FUNDADORES, , ,-600000.00,4635964.61
20/08,TRASLADO VIRTUAL OTROS BANCOS, , ,-109000.00,4526964.61
20/08,AJUSTE DB INTERES AHORROS, , ,-.08,4526964.53
20/08,COMISION TRASLADO OTROS BANCO, , ,-7200.00,4519764.53
21/08,ABONO INTERESES AHORROS, , ,39.67,4519804.20
21/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-3576.80,4516227.40
21/08,TRASLADO CTA BANCOL SUC VIRT, , ,-352000.00,4164227.40
21/08,TRASLADO CTA BANCOL SUC VIRT, , ,-535000.00,3629227.40
22/08,ABONO INTERESES AHORROS, , ,15.46,3629242.86
22/08,PAGO SERVICIOSEFIGAS GAS NATU,AVENIDA SANTANDER, ,-119650.00,3509592.86
22/08,DEBITO AUTOMATTELMEX HOGAR S.,AVENIDA SANTANDER, ,-114480.00,3395112.86
22/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-8824.47,3386288.39
22/08,PAGO PUNTO DE VENTA REDEBAN, , ,-1971989.00,1414299.39
23/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-638.80,1413660.59
23/08,PAGO PUNTO DE VENTA REDEBAN, , ,-70900.00,1342760.59
23/08,PAGO PUNTO DE VENTA REDEBAN, , ,-88800.00,1253960.59
27/08,ABONO INTERESES AHORROS, , ,68.50,1254029.09
28/08,CONSIGNACION NACIONAL CHEQUE,AVENIDA BOLIVARIA, ,1930000.00,3184029.09
28/08,ABONO INTERESES AHORROS, , ,13.21,3184042.30
28/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-139.96,3183902.34
28/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-41.20,3183861.14
28/08,PAGO TDA VIRTUPSE - ACH COLOM, , ,-34990.00,3148871.14
28/08,VALOR IVA, , ,-1421.00,3147450.14
28/08,INGXSERV CONSIGNACION NAL CHE, , ,-8879.00,3138571.14
29/08,DESCARGUE E-PREPAGO, , ,44451.00,3183022.14
29/08,PAGO  DE  PROVEDOR PUNTUALCAR, , ,217500.00,3400522.14
29/08,ABONO INTERESES AHORROS, , ,22.91,3400545.05
29/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-5195.20,3395349.85
29/08,RETIRO CAJERO CTRO CIAL PARQU, , ,-600000.00,2795349.85
29/08,RETIRO CAJERO CTRO CIAL PARQU, , ,-600000.00,2195349.85
29/08,PAGO PUNTO DE VENTA REDEBAN, , ,-42900.00,2152449.85
29/08,PAGO PUNTO DE VENTA REDEBAN, , ,-55900.00,2096549.85
30/08,ABONO INTERESES AHORROS, , ,21.27,2096571.12
30/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-599.96,2095971.16
30/08,PAGO PUNTO DE VENTA REDEBAN, , ,-149990.00,1945981.16
31/08,ABONO INTERESES AHORROS, , ,17.83,1945998.99
31/08,GRAVAMEN MOVIMIENTO FINANCIER, , ,-1252.40,1944746.59
31/08,PAGO TDA VIRTUPSE - SSS, , ,-75400.00,1869346.59
31/08,PAGO TDA VIRTUPSE - SSS, , ,-77400.00,1791946.59
31/08,PAGO TDA VIRTUPSE - SSS, , ,-79200.00,1712746.59
31/08,PAGO TDA VIRTUPSE - SSS, , ,-81100.00,1631646.59
1/09,ABONO INTERESES AHORROS, , ,17.83,1631664.42
2/09,ABONO INTERESES AHORROS, , ,17.10,1631681.52
2/09,PAGO COMUNICACCOMCEL FACTURAN,AVENIDA SANTANDER, ,-66708.00,1564973.52
3/09,RETIRO CAJERO BOCAGRANDE, , ,-400000.00,1164973.52
4/09,ABONO INTERESES AHORROS, , ,25.46,1164998.98
5/09,ABONO INTERESES AHORROS, , ,9.53,1165008.51
5/09,PAGO TDA VIRTUPSE - ACH COLOM, , ,-46284.00,1118724.51
5/09,PAGO TDA VIRTUPSE - SSS, , ,-171120.00,947604.51

5/09,PAGO PUNTO DE VENTA REDEBAN, , ,-75000.00,872604.51
6/09,RETIRO CAJERO MAKRO VILLAVICE, , ,-600000.00,272604.51
6/09,PAGO PUNTO DE VENTA REDEBAN, , ,-35000.00,237604.51
8/09,ABONO INTERESES AHORROS, , ,4.86,237609.37
9/09,CONSIGNACION LOCAL EFECTIVO,AVENIDA SANTANDER, ,380000.00,617609.37
10/09,ABONO INTERESES AHORROS, , ,13.50,617622.87
11/09,ABONO INTERESES AHORROS, , ,1.40,617624.27
11/09,PAGO PUNTO DE VENTA REDEBAN, , ,-51450.00,566174.27
11/09,PAGO PUNTO DE VENTA REDEBAN, , ,-361500.00,204674.27
12/09,ABONO INTERESES AHORROS, , ,1.34,204675.61
12/09,CUOTA MANEJO TARJETA DEBITO, , ,-9000.00,195675.61
13/09,TRASLADO A SU CUENTA CNB,CANAL CORRESPONSA, ,285000.00,480675.61
13/09,ABONO INTERESES AHORROS, , ,1.44,480677.05
13/09,PAGO COMUNICACCOMCEL RECARGA,AVENIDA SANTANDER, ,-10000.00,470677.05
13/09,TRASLADO VIRTUAL OTROS BANCOS, , ,-260000.00,210677.05
13/09,AJUSTE DB INTERES AHORROS, , ,-.05,210677.00
13/09,COMISION TRASLADO OTROS BANCO, , ,-7200.00,203477.00
14/09,RETIRO CAJERO PARQUE CALDAS, , ,-190000.00,13477.00
17/09,PAGOS INTERBANCARIOS, , ,409962.00,423439.00
17/09,ABONO INTERESES AHORROS, , ,1.53,423440.53
17/09,CARGUE E-PREPAGO, , ,-200000.00,223440.53
18/09,RETIRO CAJERO MERCALDAS CENTR, , ,-200000.00,23440.53
19/09,CONSIGNACION LOCAL EFECTIVO,FUNDADORES MANIZA, ,100000.00,123440.53
19/09,TRASLADO CTA BANCOL SUC VIRT, , ,-24000.00,99440.53
23/09,DESCARGUE E-PREPAGO, , ,40557.00,139997.53
23/09,ABONO INTERESES AHORROS, , ,.95,139998.48
24/09,CONSIGNACION LOCAL EFECTIVO,FUNDADORES MANIZA, ,2000000.00,2139998.48
24/09,CONSIGNACION NACIONAL CHEQUE,AVENIDA BOLIVARIA, ,1930000.00,4069998.48
24/09,ABONO INTERESES AHORROS, , ,23.28,4070021.76
24/09,VALOR IVA, , ,-1421.00,4068600.76
24/09,INGXSERV CONSIGNACION NAL CHE, , ,-8879.00,4059721.76
25/09,CONSIGNACION LOCAL EFECTIVO,FUNDADORES MANIZA, ,3000000.00,7059721.76
25/09,ABONO INTERESES AHORROS, , ,37.94,7059759.70
25/09,TRASLADO VIRTUAL OTROS BANCOS, , ,-1289000.00,5770759.70
25/09,TRASLADO CTA BANCOL SUC VIRT, , ,-1700000.00,4070759.70
25/09,PAGO PUNTO DE VENTA REDEBAN, , ,-599900.00,3470859.70
25/09,AJUSTE DB INTERES AHORROS, , ,-.08,3470859.62
